ID;start;end;code;team;action;half;pos_x;pos_y
15;8.55;20.55;9. Ali Sowe (1389884) - Başarısız İkili Mücadeleler;Caykur Rizespor (62850);Başarısız İkili Mücadeleler;1;38.64;34.64
16;8.55;20.55;42. Abdülkerim Bardakcı (126526) - Başarısız İleri Paslar;Galatasaray (29205);Başarısız İleri Paslar;1;38.64;34.64
17;8.55;20.55;42. Abdülkerim Bardakcı (126526) - Başarısız İlerletici Paslar;Galatasaray (29205);Başarısız İlerletici Paslar;1;38.64;34.64
18;8.55;20.55;9. Ali Sowe (1389884) - Kaybedilen hava topu mücadeleleri;Caykur Rizespor (62850);Kaybedilen hava topu mücadeleleri;1;38.64;34.64
19;8.55;20.55;42. Abdülkerim Bardakcı (126526) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;1;38.64;34.64
20;11.55;23.55;3. Samet Akaydin (26800) - Başarılı hava topu mücadeleleri;Caykur Rizespor (62850);Başarılı hava topu mücadeleleri;1;47.84;35.07
21;11.55;23.55;3. Samet Akaydin (26800) - Başarılı İkili Mücadeleler;Caykur Rizespor (62850);Başarılı İkili Mücadeleler;1;47.84;35.07
22;11.55;23.55;53. Barış Alper Yılmaz (1589859) - Başarısız İkili Mücadeleler;Galatasaray (29205);Başarısız İkili Mücadeleler;1;47.84;35.07
23;11.55;23.55;53. Barış Alper Yılmaz (1589859) - Kaybedilen hava topu mücadeleleri;Galatasaray (29205);Kaybedilen hava topu mücadeleleri;1;47.84;35.07
24;11.55;23.55;3. Samet Akaydin (26800) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;47.84;35.07
